Error Code	Description
401	גישה נדחתה, נא להתחבר מחדש.
1002	שדה שם ריק.
1003	לא נמצא עסק פעיל בחשבון.
1004	Empty request body or invalid JSON.
1005	שגיאה במהלך שמירה.
1006	נא לחדש את המינוי.
1007	חסרה הרשאה מתאימה.
403	גישה אסורה.
404	פריט לא נמצא.
405	Method Not Allowed.
1008	פריט לא עודכן, כיוון שלא בוצעו שינויים.
1009	יש לבחור כתובות מייל.
1010	קיימת כבר בקשה עם נתונים זהים.
1011	שפה לא נתמכת.
1012	פעולה זו נתמכת במינוי גבוה יותר.
1013	קובץ ריק או לא תקין.
1014	סוג קובץ לא נתמך.
1015	יש להסדיר את החוב בחחשבון על מנת לבצע את הפעולה.
1016	שגיאה בעדכון בסיס נתונים.
1017	שגיאה כללית.
1018	שגיאה בשליחת מייל. יתכן וכתובת המייל חסומה או לא תקינה.
1019	כתובת המייל של הנמען חסומה לשליחה.
1020	שגיאת הצפנה.
1100	שדה {id} לא תקין
1101	לא נשלחו שדות לעדכון.
1102	כתובת מייל לא תקינה.
1103	כתובת אתר לא תקינה.
1104	קוד מדינה לא תקין.
1105	ערך תנאי תשלום לא תקין.
1106	ערך קוד מטבע לא תקין.
1107	שער המרה לא תקין, ערך צריך להיות גדול מאפס.
1108	שיעור מע"מ לא תקין. צריך להיות בין 0-1.
1109	קיימת שורה עם מע"מ במסמך ללא מע"מ.
1110	מחיר לא תקין.
2000	החשבון עדיין לא פעיל.
2001	משתמש חסום.
2002	מייל או סיסמה לא נכונים.
2003	משתמש לא קיים.
2004	נא למלא שם פרטי.
2005	נא למלא שם משפחה.
2006	סיסמה לא תקינה. צריכה להיות 8-16 ספרות או תווים.
2007	מייל תפוס.
2008	סיסמה נוכחית לא נכונה.
2009	מספר ת.ז. לא תקין.
2010	החשבון כבר הופעל.
2012	ערך id לא תקין.
2013	ערך type לא תקין.
2014	נתוני מפתח לא נכונים.
1111	מספר עוסק / ח.פ אינו תקין.
1112	לא ניתן להוסיף מסמכים. בחודש זה הופקה כמות המסמכים המירבית לחשבון.
1113	שדה תקבול לא נשלח.
1114	תאריך התחלה לא תקין.
1115	תאריך סיום לא תקין.
1116	סכום מע״מ לא תקין.
1117	תאריך לא תקין.
1118	לא ניתן לרכוש שירותים נוספים ללא מסלול פעיל בתשלום.
1119	גודל עמוד צריך להיות לכל היותר 100.
1120	כתובת הדומיין של המייל לא תקינה.
2100	סוג עוסק לא תקין.
2101	שם העסק לא יכול להיות ריק.
2102	לא ניתן להוסיף עוד עסקים במסגרת המינוי.
2103	נא למלא כתובת עסק.
2104	נא למלא עיר.
2105	קובץ לא תקין או גדול מ 5M.
2106	סוג קובץ לא נתמך.
2107	מספר תבנית עיצוב לא תקין.
2125	מספר סקין בתבנית עיצוב לא תקין.
2126	אחוז מקדמות אינו תקין. ערך תקין הוא מספר בין 0-35.
2127	ערך תחום עיסוק לא תקין.
2128	ערך מקצוע לא תקין.
2129	ערך סדר עיצוב שדות תקבולים במסמך לא תקין.
2108	לא נמצא עסק.
2109	מספר סניף בנק יכול להכיל עד 5 תווים.
2110	עסק עם שם זהה כבר רשום בחחשבון.
2111	מספר עוסק / ח.פ כבר קיים בחחשבון.
2112	מספר עוסק / ח.פ כבר קיים במערכת תחת חשבון אחר.
2113	מספר עוסק / ח.פ כבר רשום בחחשבון פעמיים. ניתן עד להקים עד 2 עסקים עם אותו מספר עוסק.
2114	מספר תיק ניכויים אינו תקין.
2115	אחוז ניכוי במקור אינו תקין. ערך תקין הוא מספר בין 0-35.
2116	ערך שיטת דיווח לא תקין.
2117	ניתן להוסיף עד 3 כתובות מייל להנהלת חשבונות.
2118	חלק מההשדות לא עודכנו. קיים עסק נוסף עם מספר עוסק זהה ולכן חייב להישמר ביניהם טווח הפרש של לפחות 8,000.
2119	מספור מסמך לא תקין. ערכים תקינים בין 1-999999999.
2120	שדה {types} לא נשלח.
2121	לא ניתן לעדכן מספור זה מאחר וכבר הופקו מסמכים בשנה זו.
2122	לא ניתן לבצע פעולה זו בעסק מוקפא.
2123	ערך {id} לא תקין של העסק
2124	תוכן בתחתית המסמך מוגבל ל-2000 תווים.
2200	ניתן להוסיף עד 3 כתובות מייל ללקוח.
2201	נא למלא שם לקוח.
2202	לא ניתן לאחד לקוח פעיל.
2203	לא ניתן למחוק לקוח שהופקו עבורו מסמכים.
2204	שדה {id} של לקוח מטרה לא נשלח.
2205	לא נמצאו לקוחות חדשים או שהקובץ המיובא אינו תקין.
2206	ניתן להוסיף עד 3 תגיות ללקוח.
2207	קובץ לא תקין או גדול מ 5M.
2208	יתרה לא תקינה.
2209	הכנסות לא תקינות.
2210	לא ניתן למחוק לקוח בעל כרטיסי אשראי שמורים.
2250	ניתן להוסיף עד 3 כתובות מייל לספק.
2251	נא למלא שם ספק.
2252	לא ניתן לאחד ספק פעיל.
2253	לא ניתן למחוק ספק ששויכו אליו הוצאות.
2254	שדה {id} של ספק מטרה לא נשלח.
2255	לא נמצאו ספקים חדשים ותקינים בקובץ היבוא.
2256	ניתן להוסיף עד 3 תגיות ללקוח.
2257	קובץ לא תקין או גדול מ 5M.
2258	יתרה לא תקינה.
2259	הכנסות לא תקינות.
2300	נא למלא שם פריט.
2301	נא למלא תיאור פריט.
2302	לא נמצאו פריטים חדשים ותקינים בקובץ היבוא.
2305	קובץ לא תקין או גדול מ 5M.
2400	לא ניתן לסגור מסמך שאינו פתוח.
2401	לא ניתן לפתוח מסמך שאינו סגור ידנית。
2402	שדה {ids} לא נשלח או לא תקין。
2403	סוג מסמך לא נשלח או אינו נתמך עבור סוג עסק זה。
2404	Invalid or missing {linkType} field. Can be only (copy|cancel|link).
2405	התאריך שנבחר עתידי או מוקדם מדי לסוג מסמך זה。
